,Wetter,Gesellschaft,Other,Quelle,Wirtschaft,Politik,Russland,Sabotage,Klimawandel,Proteste
2022-04-12,0,1,1,2,0,0,0,0,0,0
2022-04-13,0,1,0,0,0,0,0,0,0,0
2022-04-17,0,0,0,0,0,0,0,0,0,0
2022-04-19,0,1,1,0,0,0,1,0,0,0
2022-04-23,0,0,0,1,0,0,0,0,0,0
2022-04-27,0,3,0,0,0,0,1,0,0,0
2022-04-28,0,0,0,0,0,1,0,0,0,0
2022-04-29,0,0,0,0,0,0,1,0,0,0
2022-04-30,0,1,0,0,1,1,0,0,0,0
2022-05-01,0,0,0,1,0,0,0,0,0,0
2022-05-05,0,0,0,2,0,0,0,0,0,0
2022-05-09,0,1,0,0,0,0,0,0,0,0
2022-05-10,0,1,0,0,0,0,0,0,0,0
2022-05-11,0,1,0,1,0,0,0,0,0,0
2022-05-13,0,0,0,1,0,0,0,0,0,0
2022-05-16,0,1,0,0,1,0,0,0,0,0
2022-05-18,0,1,0,0,0,1,0,0,0,0
2022-05-19,0,0,0,2,0,0,0,0,0,0
2022-05-20,0,1,0,1,0,0,0,0,0,0
2022-05-21,0,0,0,1,0,0,0,0,0,0
2022-05-25,0,0,0,1,0,0,0,0,0,0
2022-05-26,0,1,0,0,0,0,0,0,0,0
2022-05-27,0,0,0,1,0,0,0,0,0,0
2022-05-29,0,1,0,0,1,0,0,0,0,0
2022-06-07,0,2,0,0,1,1,0,0,0,0
2022-06-09,0,1,0,0,0,0,0,0,0,0
2022-06-10,0,0,1,0,0,0,0,0,0,0
2022-06-13,0,0,0,1,0,0,0,0,0,0
2022-06-15,0,1,0,0,1,0,0,0,0,0
2022-06-17,0,3,1,1,1,0,1,0,0,0
2022-06-18,0,1,0,0,0,0,0,0,0,0
2022-06-19,0,1,0,1,0,0,0,0,0,0
2022-06-20,0,1,0,1,0,1,0,0,0,0
2022-06-21,0,1,0,2,0,1,0,0,0,0
2022-06-22,0,0,0,2,0,0,0,0,0,0
2022-06-23,0,0,1,1,0,0,0,0,0,0
2022-06-24,0,2,0,0,0,1,0,0,0,0
2022-06-27,0,0,0,1,0,0,0,0,0,0
2022-06-28,0,0,0,0,0,0,1,0,0,0
2022-06-29,0,0,0,2,1,1,0,0,0,0
2022-06-30,0,1,0,0,0,0,0,0,0,0
2022-07-01,0,1,1,2,0,0,0,0,0,0
2022-07-03,1,2,0,0,0,1,0,0,0,0
2022-07-04,0,2,0,1,1,1,0,0,0,0
2022-07-05,0,1,0,0,0,0,0,0,0,0
2022-07-06,0,2,0,0,1,0,0,0,0,0
2022-07-07,0,0,0,1,0,0,0,0,0,0
2022-07-08,0,2,1,0,1,0,0,1,0,0
2022-07-09,0,0,0,0,0,0,0,1,0,0
2022-07-10,0,1,0,0,0,0,2,1,0,0
2022-07-12,0,4,4,0,0,1,1,0,0,0
2022-07-13,0,3,3,2,0,0,0,0,0,0
2022-07-14,0,2,0,0,0,1,0,0,0,0
2022-07-15,0,3,2,2,0,0,0,0,0,0
2022-07-16,0,1,0,0,0,0,0,0,0,0
2022-07-17,0,1,0,0,0,0,0,0,0,0
2022-07-18,0,3,2,1,1,0,0,1,0,0
2022-07-19,0,0,2,0,0,0,1,1,0,0
2022-07-20,0,1,0,0,0,0,0,0,0,0
2022-07-21,0,1,1,0,0,0,0,2,0,0
2022-07-22,0,2,0,0,1,0,0,0,0,0
2022-07-23,0,0,1,0,0,0,0,0,0,0
2022-07-24,0,3,1,1,1,1,0,0,0,0
2022-07-25,0,3,3,1,0,0,0,0,0,0
2022-07-26,0,1,0,0,0,0,0,0,0,0
2022-07-27,0,1,0,1,0,0,0,0,0,0
2022-07-28,0,2,1,1,0,0,0,1,0,0
2022-07-29,0,0,0,0,0,0,0,0,0,0
2022-07-31,0,1,0,0,0,0,0,0,0,0
2022-08-01,0,1,2,0,1,0,0,0,0,0
2022-08-02,0,2,1,1,1,0,0,0,0,0
2022-08-03,0,2,0,0,0,0,1,0,0,0
2022-08-04,0,1,0,2,0,0,0,0,0,0
2022-08-05,0,2,0,0,0,0,0,0,0,0
2022-08-06,0,1,1,1,0,0,0,0,0,0
2022-08-07,0,1,1,0,1,0,0,0,0,0
2022-08-09,0,1,0,0,0,1,0,0,0,0
2022-08-10,0,4,0,0,0,0,0,0,0,0
2022-08-11,0,2,3,0,0,1,0,0,0,0
2022-08-12,0,1,0,0,0,0,0,0,0,0
2022-08-13,0,1,0,0,1,0,0,0,0,0
2022-08-14,0,2,1,1,0,1,0,0,0,0
2022-08-15,0,1,0,0,0,0,0,0,0,0
2022-08-16,0,2,0,1,0,0,0,0,0,0
2022-08-17,0,2,0,0,0,0,0,0,0,0
2022-08-18,0,0,0,1,0,0,0,0,0,0
2022-08-22,0,3,0,0,1,0,1,1,0,0
2022-08-23,0,3,1,0,0,1,0,0,0,0
2022-08-24,0,2,0,0,0,1,0,0,0,0
2022-08-25,0,1,1,0,0,0,0,0,0,0
2022-08-27,0,2,1,0,0,1,0,0,0,0
2022-08-28,0,0,0,1,1,0,0,0,0,0
2022-08-29,0,2,1,0,0,0,0,0,0,0
2022-08-30,0,1,0,1,0,0,0,0,0,0
2022-08-31,0,2,0,1,1,0,0,0,0,0
2022-09-01,0,2,0,1,0,0,1,0,0,0
2022-09-02,0,3,0,0,0,1,1,0,0,0
2022-09-05,0,3,0,0,1,0,1,2,0,0
2022-09-06,0,3,0,0,0,0,0,0,0,0
2022-09-07,0,1,0,0,1,1,0,0,0,0
2022-09-08,0,1,0,0,0,0,0,0,0,0
2022-09-09,0,1,1,1,0,0,1,0,0,0
2022-09-10,0,3,0,1,0,1,0,0,0,0
2022-09-12,0,1,0,0,0,0,1,0,0,0
2022-09-13,0,1,0,0,0,0,0,0,0,0
2022-09-14,0,5,1,0,0,0,0,0,0,0
2022-09-15,0,3,0,0,0,1,0,0,0,0
2022-09-16,0,1,0,0,0,0,0,0,0,0
2022-09-19,0,5,0,1,0,0,0,0,0,0
2022-09-20,0,8,0,2,0,0,0,0,0,0
2022-09-21,0,4,1,0,1,0,0,0,0,0
2022-09-22,0,3,1,2,0,1,0,0,0,0
2022-09-23,1,6,1,0,0,0,0,0,0,0
2022-09-24,0,0,0,0,0,0,0,0,0,0
2022-09-25,0,4,0,0,1,1,1,0,0,0
2022-09-26,0,8,1,1,6,2,0,0,0,0
2022-09-27,0,9,3,3,5,6,0,9,0,0
2022-09-28,0,11,2,7,6,4,2,9,0,0
2022-09-29,0,27,5,1,11,21,0,6,0,0
2022-09-30,0,19,2,1,9,11,2,6,0,0
2022-10-01,0,7,3,1,5,3,2,0,0,0
2022-10-02,0,7,0,0,2,4,1,8,0,0
2022-10-03,0,9,1,3,6,8,1,4,0,0
2022-10-04,0,16,4,3,4,7,0,3,0,0
2022-10-05,0,24,8,7,9,9,4,7,0,0
2022-10-06,0,22,2,2,5,14,0,5,0,0
2022-10-07,0,38,12,13,8,22,1,1,0,0
2022-10-08,1,12,4,3,4,10,0,1,0,0
2022-10-09,0,12,5,5,4,4,0,1,0,0
2022-10-10,0,48,8,6,12,35,1,5,0,0
2022-10-11,0,29,11,9,15,22,1,2,0,0
2022-10-12,1,44,7,13,20,23,0,7,0,0
2022-10-13,1,41,11,11,14,28,8,7,0,0
2022-10-14,3,29,3,22,7,18,3,8,0,0
2022-10-15,0,9,10,6,2,14,1,1,0,0
2022-10-16,0,25,6,6,8,9,0,1,0,0
2022-10-17,0,34,11,34,13,23,0,4,0,0
2022-10-18,1,44,21,62,36,23,1,21,0,0
2022-10-19,1,60,12,41,12,19,1,1,0,0
2022-10-20,3,85,12,18,19,42,0,0,0,0
2022-10-21,1,93,25,10,24,60,0,1,0,0
2022-10-22,0,36,5,7,7,28,2,2,0,0
2022-10-23,2,21,4,1,7,11,4,0,0,0
2022-10-24,2,56,5,17,15,34,1,2,0,0
2022-10-25,0,73,10,12,22,33,1,0,0,0
2022-10-26,1,53,9,17,18,12,0,3,0,0
2022-10-27,0,45,17,12,16,19,3,9,0,0
2022-10-28,1,44,8,12,13,12,1,2,0,0
2022-10-29,2,24,4,10,5,6,0,2,0,0
2022-10-30,0,21,7,18,4,8,0,1,0,0
2022-10-31,1,66,7,24,18,28,0,0,0,0
2022-11-01,0,52,10,15,14,36,1,5,0,0
2022-11-02,0,58,15,14,21,42,1,7,0,0
2022-11-03,1,48,6,10,18,22,1,1,0,0
2022-11-04,0,34,5,8,7,31,2,0,0,0
2022-11-05,2,19,1,7,8,18,1,0,0,0
2022-11-06,1,20,11,4,7,12,0,0,0,0
2022-11-07,1,44,14,11,26,13,1,0,0,0
2022-11-08,1,36,11,13,23,11,0,0,0,0
2022-11-09,1,49,18,27,16,11,0,2,0,0
2022-11-10,4,40,8,21,11,12,0,0,0,0
2022-11-11,1,47,13,40,14,6,1,2,0,0
2022-11-12,3,11,1,7,6,6,8,0,0,0
2022-11-13,0,10,4,4,3,2,1,0,0,0
2022-11-14,1,42,5,23,20,23,21,1,0,0
2022-11-15,3,64,18,35,22,30,0,0,0,0
2022-11-16,1,64,15,19,18,32,0,0,0,0
2022-11-17,4,39,3,13,18,18,0,3,0,0
2022-11-18,7,45,13,13,19,32,1,10,0,0
2022-11-19,1,15,17,6,7,11,0,0,0,0
2022-11-20,5,13,15,21,5,7,1,1,0,0
2022-11-21,2,32,8,19,11,8,0,0,0,0
2022-11-22,1,58,7,11,17,43,1,0,0,0
2022-11-23,2,23,11,15,19,34,1,0,0,0
2022-11-24,1,47,10,13,11,46,0,3,0,0
2022-11-25,3,40,4,15,23,23,0,2,0,0
2022-11-26,0,24,10,10,3,15,0,0,0,0
2022-11-27,2,21,3,4,2,12,0,0,0,0
2022-11-28,4,19,11,17,9,17,3,1,0,0
2022-11-29,0,54,19,48,21,23,2,1,0,0
2022-11-30,0,25,12,21,16,17,16,3,0,0
2022-12-01,0,40,15,11,13,13,0,1,0,0
2022-12-02,7,28,8,14,24,26,0,5,0,0
2022-12-03,0,21,9,3,10,32,4,1,0,0
2022-12-04,1,21,5,6,8,20,0,1,0,0
2022-12-05,1,26,5,13,16,22,13,0,0,0
2022-12-06,1,19,14,5,13,24,9,0,0,0
2022-12-07,1,25,10,9,15,11,1,0,0,0
2022-12-08,1,27,11,20,7,11,0,0,0,0
2022-12-09,4,42,24,13,16,17,1,0,0,0
2022-12-10,5,10,8,2,1,20,0,0,0,0
2022-12-11,2,20,7,1,4,8,0,0,0,0
2022-12-12,8,48,17,9,7,35,0,0,0,0
2022-12-13,1,85,11,10,18,33,0,0,0,0
2022-12-14,3,47,1,6,13,35,0,0,0,0
2022-12-15,3,60,5,19,20,63,0,2,0,0
2022-12-16,1,44,22,32,14,50,3,0,0,0
2022-12-17,2,9,6,48,4,8,0,0,0,0
2022-12-18,1,11,3,8,12,13,0,0,0,0
2022-12-19,0,95,4,19,17,79,0,0,0,0
2022-12-20,0,48,9,17,23,20,0,0,0,0
2022-12-21,0,28,2,31,22,12,1,1,0,0
2022-12-22,0,22,0,14,12,5,0,1,0,0
2022-12-23,0,14,3,2,2,8,0,0,0,0
2022-12-24,0,2,2,1,1,1,0,0,0,0
2022-12-25,0,1,0,0,0,0,0,0,0,0
2022-12-26,0,1,0,0,0,7,0,0,0,0
2022-12-27,0,0,1,0,1,0,1,0,0,0
2022-12-28,0,13,1,2,1,0,0,1,0,0
2022-12-29,0,8,2,0,1,5,0,0,0,0
2022-12-30,0,4,0,5,3,2,0,0,0,0
2022-12-31,0,0,0,0,0,0,0,1,0,0
2023-01-01,0,1,0,2,0,1,0,0,0,0
2023-01-02,0,1,1,0,0,1,0,0,0,0
1970-01-01,0,0,0,0,0,0,0,0,0,0
